name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;349;0;742;3071;1074;3071;1097;0
header;260;124;260;157;1883;157;1883;124
A;365;60;365;62;368;62;368;60
A;864;180;864;184;865;184;865;180
A;1058;187;1058;215;1079;215;1079;187
B;1055;867;1055;895;1077;895;1077;867
B;729;1520;729;1539;743;1539;743;1520
C;1052;1537;1052;1567;1074;1567;1074;1537
A;761;1931;761;1951;768;1951;768;1931
A;804;2023;804;2042;811;2042;811;2023
A;907;2070;907;2088;914;2088;914;2070
D;1053;2209;1053;2236;1074;2236;1074;2209
B;821;2392;821;2411;839;2411;839;2392
B;707;2438;707;2456;724;2456;724;2438
