name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;205;0;343;3067;1229;3067;859;0
header;67;107;67;144;1675;144;1675;107
A;849;172;849;199;870;199;870;172
B;285;312;285;338;300;338;300;312
A;714;400;714;400;714;400;714;400
B;503;768;503;795;521;795;521;768
B;857;856;857;883;877;883;877;856
C;860;1529;860;1557;880;1557;880;1529
C;969;1610;969;1627;984;1627;984;1610
A;842;1943;842;1954;850;1954;850;1943
D;871;2199;871;2225;890;2225;890;2199
B;510;2526;510;2545;529;2545;529;2526
B;442;2747;442;2774;458;2774;458;2747
